experiment,best_mAP50,best_mAP50-95,final_precision,final_recall,f1_score
120,0.31712,0.19543,0.48004,0.30963,0.3764478458090088
121,0.24653,0.1431,0.61019,0.23276,0.3369780518417463
122,0.28249,0.16675,0.73674,0.18396,0.2944079296187683
123,0.28427,0.1599,0.64971,0.21756,0.3259674786398699
124,0.32122,0.20121,0.40664,0.2533,0.3121553838227718
125,0.24992,0.16012,0.5474,0.21298,0.3066499697519661
126,0.36402,0.2317,0.49595,0.32966,0.3960583738084568
127,0.28002,0.1559,0.5999,0.25058,0.35350141567115045
128,0.28959,0.17823,0.57836,0.2287,0.3277846306346492
129,0.25548,0.14974,0.42397,0.2878,0.34285953608609526
130,0.31085,0.19076,0.56016,0.26715,0.36176703774884866
131,0.29613,0.16931,0.69545,0.22125,0.33570047452819896
132,0.25468,0.16051,0.51887,0.21887,0.3078729007509421
133,0.29846,0.17699,0.62945,0.26793,0.3758687256234817
134,0.29405,0.18885,0.789,0.184,0.29840904419321684
135,0.31863,0.1796,0.60641,0.26343,0.3673010813482939
136,0.32602,0.2042,0.49492,0.31316,0.3835985229185229
137,0.263,0.16367,0.673,0.21389,0.3246129057718545
138,0.29434,0.1932,0.4837,0.29864,0.36928232737684386
139,0.28207,0.1603,0.61546,0.22961,0.3344474909770788
140,0.30299,0.18455,0.67592,0.22272,0.33504162378705593
141,0.27995,0.17062,0.54871,0.28431,0.37454980696741974
142,0.33396,0.21214,0.75999,0.19663,0.3124267393531392
143,0.27958,0.15564,0.49193,0.24463,0.3267645158574997
144,0.27798,0.17887,0.42395,0.30222,0.3528820221160334
1222,0.2897,0.18815,0.63573,0.21673,0.3232568399690309
1322,0.28645,0.1661,0.66333,0.2089,0.3177364617130803
